koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_depth,koi_duration,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_impact,koi_sma,koi_steff,total_fp_flags,planet_density_proxy,habitable_zone_proxy,transit_intensity,koi_disposition
0.0,0.0,0.0,0.0,4.99677968,934.7,2.1717,28.2,2.78,917.0,166.95,0.71,0.0559,5339.0,0.0,0.003028322440087146,0.05373447370075883,2029.8879900000002,CONFIRMED
0.0,0.0,0.0,0.0,4.280963604,750.8,2.875,61.8,2.3,1012.0,247.87,0.424,0.0503,5644.0,0.0,0.002270483711747285,0.04971331442394674,2158.5499999999997,CONFIRMED
0.0,0.0,1.0,0.0,1.50635409,2211.7,1.5155,181.1,4.53,1452.0,1054.12,0.86,0.025,5714.0,1.0,0.003117687543014453,0.024861158246125052,3351.83135,FALSE POSITIVE
0.0,1.0,1.0,0.0,550.9979034000003,18091.0,30.04754200000019,642.7,14.14,196.0,0.35,0.701,1.3589290000000014,5520.0,2.0,0.0717766497461929,1.3282430031700214,543590.0823220034,FALSE POSITIVE
0.0,1.0,0.0,0.0,61.2563628,5123.3,7.633,85.3,39.87,505.0,15.43,1.248,0.3137,6144.0,1.0,0.07879446640316205,0.3234829190545329,39106.1489,FALSE POSITIVE
0.0,0.0,0.0,0.0,38.3775486,724.2,5.588,34.7,2.82,529.0,18.53,0.468,0.2163,5481.0,0.0,0.005320754716981132,0.21066755346780897,4046.8296000000005,CONFIRMED
0.0,0.0,0.0,0.0,41.19725502,2213.9,4.6297,51.2,3.86,439.0,8.76,0.045,0.217,5031.0,0.0,0.008772727272727272,0.20248745586315087,10249.69283,CONFIRMED
0.0,0.0,0.0,0.0,6.252962249,1036.9,2.5819,47.1,2.65,823.0,108.3,0.105,0.0617,5031.0,0.0,0.003216019417475728,0.05757362224311709,2677.1721100000004,CONFIRMED
0.0,0.0,0.0,0.0,16.01308419,1121.9,3.2554,33.2,3.1,593.0,29.31,0.799,0.1148,5015.0,0.0,0.005218855218855219,0.106951920629835,3652.23326,CONFIRMED
0.0,0.0,0.0,0.0,32.62876672,1804.8,4.7971,80.0,3.36,506.0,15.55,0.021,0.1889,5586.0,0.0,0.006627218934911242,0.1857349592517947,8657.80608,CONFIRMED
0.0,0.0,0.0,0.0,91.7732862,652.0,6.473,19.1,2.12,359.0,3.92,0.606,0.3764,5586.0,0.0,0.005888888888888889,0.37009337566106687,4220.396,CONFIRMED
0.0,0.0,0.0,0.0,4.959319244,9802.0,2.22739,696.5,12.21,1103.0,349.4,0.831,0.0565,5712.0,0.0,0.011059782608695654,0.05617638369591417,21832.876780000002,CONFIRMED
0.0,1.0,1.0,0.0,2.701287801,860.4,3.3827,48.3,6.54,1222.0,527.81,1.016,0.0365,5550.0,2.0,0.005347506132461161,0.03577260666112069,2910.4750799999997,FALSE POSITIVE
0.0,0.0,0.0,0.0,4.49876511,460.0,3.7362,29.5,2.1,1133.0,389.62,0.312,0.0542,6075.0,0.0,0.001851851851851852,0.055575535867105126,1718.652,CONFIRMED
0.0,1.0,0.0,0.0,19.651209505,11766.0,5.2514,513.4,12.42,730.0,67.03,0.723,0.1433,6074.0,1.0,0.016990424076607388,0.14692470095285726,61787.972400000006,FALSE POSITIVE
0.0,0.0,0.0,0.0,5.412203927,601.6,2.9472,166.7,2.94,1093.0,337.68,0.787,0.0591,5779.0,0.0,0.0026873857404021936,0.05910511400511492,1773.0355200000001,CONFIRMED
0.0,0.0,0.0,0.0,41.43958662,2793.1,10.5989,141.1,5.5,516.0,16.72,0.355,0.2288,5468.0,0.0,0.010638297872340425,0.22257762516624444,29603.78759,CONFIRMED
0.0,0.0,0.0,0.0,8.35389523,1041.6,2.2514,43.4,2.52,790.0,91.9,0.023,0.0768,5592.0,0.0,0.003185840707964602,0.07555375136811138,2345.05824,CONFIRMED
0.0,0.0,0.0,0.0,4.125543472,1487.3,3.1744,128.6,4.43,1243.0,565.35,0.597,0.0529,6174.0,0.0,0.003561093247588424,0.05468273346828835,4721.28512,CONFIRMED
0.0,0.0,0.0,0.0,2.816504904,16814.0,2.50587,1406.8,12.21,1219.0,521.13,0.105,0.0383,5532.0,0.0,0.010008196721311476,0.037475815392812716,42133.69818,CONFIRMED
0.0,1.0,1.0,0.0,33.93373447,8503.7,14.561,236.1,7.34,430.0,8.11,0.812,0.1881,5040.0,2.0,0.01703016241299304,0.17567715717019633,123822.3757,FALSE POSITIVE
0.0,0.0,0.0,0.0,3.689920099,426.7,2.6557,35.6,1.89,1147.0,408.99,0.151,0.0469,5880.0,0.0,0.001646341463414634,0.04731215576438816,1133.1871899999999,CONFIRMED
0.0,0.0,0.0,0.0,4.431238488,1010.9,3.15,71.1,3.25,1104.0,351.23,0.405,0.0529,5714.0,0.0,0.0029411764705882353,0.05260621084880061,3184.335,CONFIRMED
0.0,0.0,0.0,0.0,11.37936986,1023.5,2.6255,37.9,3.95,806.0,99.68,0.911,0.0993,5714.0,0.0,0.004894671623296159,0.0987485205536087,2687.19925,CONFIRMED
0.0,0.0,0.0,0.0,26.39432897,1510.9,3.573,48.2,3.07,489.0,13.49,0.602,0.1635,5129.0,0.0,0.006265306122448979,0.154044195270621,5398.4457,CONFIRMED
