orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
10.405998015,6.5036,14489.0,11.23,833.0,113.94,0.924,5746.0,FALSE_POSITIVE,KEPLER
2.337437946,1.9982,971.2,2.34,1070.0,311.16,0.765,5005.0,CONFIRMED,KEPLER
7.2406612,0.558,556.4,19.45,734.0,68.63,0.765,5005.0,CANDIDATE,KEPLER
3.43591631,3.133,23.2,0.55,1272.0,617.61,1.087,5779.0,CANDIDATE,KEPLER
11.59822233,2.5237,2804.5,2.65,396.0,5.82,0.473,3688.0,CONFIRMED,KEPLER
6.575315881,4.3084,2793.3,5.31,1015.0,251.38,0.989,5992.0,CONFIRMED,KEPLER
7.275040844,7.5377,3001.0,4.86,833.0,113.64,0.867,5485.0,CONFIRMED,KEPLER
19.27153892,2.7594,1219.8,1.93,393.0,5.66,0.56,4077.0,CONFIRMED,KEPLER
10.06524317,1.369,1053.3,1.91,488.0,13.43,0.56,4077.0,CONFIRMED,KEPLER
12.3935651,3.8896,916.6,2.66,677.0,49.68,0.75,5557.0,CONFIRMED,KEPLER
43.84439721,6.802,615.2,2.87,531.0,18.77,1.012,5854.0,CONFIRMED,KEPLER
3.341913228,3.813,725.3,21.55,1032.0,268.67,0.811,5295.0,FALSE_POSITIVE,KEPLER
1.626630225,2.1145,1620.6,32.43,1547.0,1355.88,0.973,5735.0,FALSE_POSITIVE,KEPLER
2.711504086,3.0099,837.5,3.12,1420.0,960.79,1.076,6214.0,CONFIRMED,KEPLER
7.21203748,4.0491,950.4,3.32,1025.0,260.58,1.076,6214.0,CONFIRMED,KEPLER
14.1798187,2.505,459.9,1.88,711.0,60.35,0.878,5799.0,FALSE_POSITIVE,KEPLER
8.47237911,2.7245,1123.5,2.59,751.0,75.44,0.788,5354.0,CONFIRMED,KEPLER
60.4189369,5.039,931.3,2.36,390.0,5.49,0.788,5354.0,CONFIRMED,KEPLER
12.611904345,5.1497,6105.6,7.4,753.0,76.15,0.919,5795.0,CONFIRMED,KEPLER
1.433769925,1.8868,1976.3,46.58,1920.0,3209.29,1.339,6017.0,FALSE_POSITIVE,KEPLER
10.31872301,3.836,871.7,28.59,876.0,139.26,1.06,5927.0,FALSE_POSITIVE,KEPLER
2.539183147,2.4282,382.1,2.06,1332.0,743.09,1.062,5519.0,CONFIRMED,KEPLER
6.770300385,2.0844,1304.0,2.77,812.0,102.87,0.679,5653.0,CONFIRMED,KEPLER
