koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_srad,koi_steff,koi_depth,koi_model_snr,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disposition
4.125543472,3.1744,4.43,1243.0,565.35,1.103,6174.0,1487.3,128.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.816504904,2.50587,12.21,1219.0,521.13,0.955,5532.0,16814.0,1406.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
33.93373447,14.561,7.34,430.0,8.11,0.705,5040.0,8503.7,236.1,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
3.689920099,2.6557,1.89,1147.0,408.99,0.917,5880.0,426.7,35.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.431238488,3.15,3.25,1104.0,351.23,1.015,5714.0,1010.9,71.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
11.37936986,2.6255,3.95,806.0,99.68,1.015,5714.0,1023.5,37.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
26.39432897,3.573,3.07,489.0,13.49,0.763,5129.0,1510.9,48.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
13.57078281,3.3539,2.64,785.0,89.61,1.012,5854.0,511.7,88.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.12594387,3.0014,1.79,997.0,233.31,1.087,5779.0,192.4,47.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.442652004,2.3078,15.03,967.0,206.78,0.956,6108.0,24446.0,835.6,0.014,0.0,1.0,0.0,0.0,FALSE POSITIVE
16.38489988,3.0249,2.0,433.0,8.35,0.615,4126.0,1127.1,28.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.8774163,2.0805,2.16,553.0,22.18,0.615,4126.0,1306.1,38.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
36.4454001,4.007,1.99,332.0,2.88,0.615,4126.0,1122.3,21.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.728732147,2.683,6.02,1023.0,258.34,0.809,5497.0,5226.5,345.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
40.4195037,3.362,7.51,467.0,11.29,0.781,5446.0,6256.0,36.9,0.999,0.0,0.0,0.0,0.0,CANDIDATE
2.243380573,1.1196,1.99,822.0,107.6,0.564,4149.0,821.7,38.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
10.405998015,6.5036,11.23,833.0,113.94,0.924,5746.0,14489.0,745.2,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
2.337437946,1.9982,2.34,1070.0,311.16,0.765,5005.0,971.2,82.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.2406612,0.558,19.45,734.0,68.63,0.765,5005.0,556.4,13.7,0.993,0.0,0.0,0.0,0.0,CANDIDATE
3.43591631,3.133,0.55,1272.0,617.61,1.087,5779.0,23.2,8.7,0.871,0.0,0.0,0.0,0.0,CANDIDATE
11.59822233,2.5237,2.65,396.0,5.82,0.473,3688.0,2804.5,71.0,1.0,0.0,0.0,0.0,0.0,CONFIRMED
6.575315881,4.3084,5.31,1015.0,251.38,0.989,5992.0,2793.3,221.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.275040844,7.5377,4.86,833.0,113.64,0.867,5485.0,3001.0,312.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
19.27153892,2.7594,1.93,393.0,5.66,0.56,4077.0,1219.8,37.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
10.06524317,1.369,1.91,488.0,13.43,0.56,4077.0,1053.3,30.3,1.0,0.0,0.0,0.0,0.0,CONFIRMED
12.3935651,3.8896,2.66,677.0,49.68,0.75,5557.0,916.6,35.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
43.84439721,6.802,2.87,531.0,18.77,1.012,5854.0,615.2,83.7,0.998,0.0,0.0,0.0,0.0,CONFIRMED
3.341913228,3.813,21.55,1032.0,268.67,0.811,5295.0,725.3,39.0,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
1.626630225,2.1145,32.43,1547.0,1355.88,0.973,5735.0,1620.6,103.6,0.773,0.0,0.0,1.0,0.0,FALSE POSITIVE
2.711504086,3.0099,3.12,1420.0,960.79,1.076,6214.0,837.5,64.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.21203748,4.0491,3.32,1025.0,260.58,1.076,6214.0,950.4,51.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
14.1798187,2.505,1.88,711.0,60.35,0.878,5799.0,459.9,11.2,0.618873271938151,0.0,0.0,0.0,1.0,FALSE POSITIVE
8.47237911,2.7245,2.59,751.0,75.44,0.788,5354.0,1123.5,47.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
60.4189369,5.039,2.36,390.0,5.49,0.788,5354.0,931.3,20.1,0.989,0.0,0.0,0.0,0.0,CONFIRMED
12.611904345,5.1497,7.4,753.0,76.15,0.919,5795.0,6105.6,277.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
1.433769925,1.8868,46.58,1920.0,3209.29,1.339,6017.0,1976.3,112.6,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
10.31872301,3.836,28.59,876.0,139.26,1.06,5927.0,871.7,38.2,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
2.539183147,2.4282,2.06,1332.0,743.09,1.062,5519.0,382.1,38.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
6.770300385,2.0844,2.77,812.0,102.87,0.679,5653.0,1304.0,50.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
0.444291966,2.0792,27.51,1836.0,2706.26,0.636,5255.0,10967.0,299.7,0.0,0.0,1.0,1.0,1.0,FALSE POSITIVE
10.181584004,3.5089,7.73,812.0,102.91,0.836,5988.0,5741.1,183.6,1.0,0.0,0.0,0.0,0.0,CANDIDATE
20.06036336,3.3203,1.96,361.0,4.0,0.493,3950.0,1494.7,35.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
46.1842039,4.758,1.83,273.0,1.32,0.493,3950.0,1394.7,26.0,1.0,0.0,0.0,0.0,0.0,CONFIRMED
23.9800854,5.351,1.31,649.0,41.94,1.012,5854.0,104.0,17.1,0.952,0.0,0.0,0.0,0.0,CONFIRMED
7.82502168,2.186,1.2,494.0,14.05,0.493,3950.0,520.8,15.9,0.994,0.0,0.0,0.0,0.0,CONFIRMED
3.895936525,2.3111,7.34,1005.0,241.62,0.774,5557.0,8544.8,370.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
22.36646466,5.228,2.32,536.0,19.45,0.734,5395.0,986.8,32.1,0.999,0.0,0.0,0.0,0.0,CONFIRMED
1.625522174,2.38963,9.73,1579.0,1467.41,1.106,5539.0,7969.0,799.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
19.620346923,2.0038,13.6,643.0,40.39,0.905,5710.0,21725.0,340.5,1.0,0.0,0.0,0.0,0.0,CANDIDATE
7.544039,6.222,17.47,838.0,116.46,0.824,5657.0,322.6,14.2,0.0,1.0,0.0,1.0,0.0,FALSE POSITIVE
9.02930689,3.1449,2.57,757.0,77.75,0.82,5349.0,1019.8,53.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
10.328035714,7.7915,13.28,843.0,119.31,1.024,5627.0,16918.0,636.8,0.053,0.0,1.0,0.0,0.0,FALSE POSITIVE
143.2063047,8.9302,8.9,308.0,2.14,0.867,5485.0,10566.0,138.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
6.164876,3.262,0.79,1021.0,256.35,1.012,5854.0,55.8,14.4,0.95,0.0,0.0,0.0,0.0,CONFIRMED
60.32494216,6.6188,12.19,411.0,6.77,0.867,5485.0,20280.0,347.2,0.745,0.0,0.0,0.0,0.0,CONFIRMED
29.1598615,4.803,1.91,524.0,17.85,0.867,5485.0,488.0,11.6,0.8432409760101847,0.0,0.0,0.0,0.0,CONFIRMED
1.540397253,2.1541,25.69,1470.0,1105.68,0.915,5663.0,816.1,38.8,0.0,0.0,0.0,1.0,1.0,FALSE POSITIVE
2.99025443,5.414,1.7,918.0,168.45,0.731,4667.0,589.2,48.5,0.0,0.0,0.0,1.0,1.0,FALSE POSITIVE
1.594745374,1.9604,11.3,1539.0,1329.42,0.893,5934.0,15044.0,1009.3,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.783002698,2.335,2.5,886.0,145.48,0.807,5170.0,1008.7,70.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
20.50588921,4.0595,3.41,518.0,17.06,0.761,4905.0,2105.5,78.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.340218842,1.9104,2.03,656.0,43.73,0.493,3950.0,1632.6,71.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.507089906,2.0067,30.26,1326.0,730.47,0.939,5926.0,1339.2,64.9,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
18.64932728,4.4056,3.12,701.0,57.13,1.053,5775.0,893.6,46.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.90144976,4.1654,1.7,1262.0,598.74,1.402,5847.0,140.7,50.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
9.75192101,4.793,2.76,870.0,135.66,1.053,5775.0,418.0,28.5,0.998,0.0,0.0,0.0,0.0,CONFIRMED
38.5576546,5.794,4.02,550.0,21.71,1.053,5775.0,993.0,39.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.525632539,2.59959,11.58,975.0,213.12,0.793,5150.0,22335.0,1996.7,0.99,0.0,0.0,0.0,0.0,CONFIRMED
34.84398644,2.9315,7.61,511.0,16.1,0.871,5509.0,4523.6,76.8,1.0,0.0,0.0,0.0,0.0,CANDIDATE
7.748094239,3.5957,5.52,964.0,204.39,1.085,5973.0,2472.1,113.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
23.96793669,3.827,1.8,329.0,2.77,0.524,3747.0,1182.3,27.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
8.29561738,1.3421,1.82,469.0,11.39,0.524,3747.0,824.3,17.9,0.995,0.0,0.0,0.0,0.0,CONFIRMED
8.11437482,2.2736,2.1,460.0,10.55,0.517,3692.0,1558.0,56.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
38.036729482,4.34617,27.5,500.0,14.81,0.932,5575.0,82872.0,1300.0,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
4.64090031,35.512,30.09,1155.0,421.08,0.826,6463.0,2450.6,296.9,0.0,0.0,0.0,0.0,0.0,CANDIDATE
3.747838198,5.0642,13.65,1031.0,266.76,0.826,5514.0,616.0,138.2,0.0,0.0,1.0,1.0,1.0,FALSE POSITIVE
14.74914825,6.0995,2.89,874.0,137.91,1.402,5847.0,430.2,107.4,0.992,0.0,0.0,0.0,0.0,CONFIRMED
21.81295996,4.3791,3.38,639.0,39.33,0.999,5601.0,1175.4,37.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.91936937,3.3148,10.34,814.0,104.0,0.776,5690.0,15148.0,389.0,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
1.028436523,1.8606,72.77,1947.0,3400.48,0.99,6228.0,8098.0,89.6,0.7030184318334185,0.0,0.0,0.0,0.0,CANDIDATE
15.37562369,3.3169,11.01,600.0,30.54,0.833,4986.0,15337.0,166.0,1.0,0.0,0.0,0.0,0.0,CONFIRMED
8.10363271,3.161,2.11,687.0,52.82,0.732,4861.0,887.9,39.3,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.71510843,2.506,1.46,823.0,108.84,0.732,4861.0,417.5,21.3,1.0,0.0,0.0,0.0,0.0,CONFIRMED
6.365839713,2.9721,2.44,914.0,165.33,0.849,5776.0,780.7,70.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
5.97581754,3.065,3.86,1047.0,284.25,0.997,6108.0,962.4,50.3,0.037,0.0,0.0,1.0,0.0,FALSE POSITIVE
2.446737317,4.7211,26.25,1261.0,597.19,0.863,5764.0,1177.9,110.2,0.0,0.0,0.0,1.0,1.0,FALSE POSITIVE
3.04033046,1.8411,8.99,1021.0,257.29,0.791,5035.0,10859.0,568.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
15.33528675,3.897,5.0,610.0,32.67,0.817,5251.0,3081.4,86.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
7.95825328,4.377,1.06,1074.0,314.15,1.402,5847.0,50.0,14.7,0.998,0.0,0.0,0.0,0.0,CONFIRMED
31.33046135,5.176,6.5,481.0,12.61,0.817,5251.0,5073.8,117.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.9043425,3.831,12.28,1104.0,351.05,0.898,5810.0,16228.0,323.4,0.006,0.0,1.0,0.0,0.0,FALSE POSITIVE
9.286358079,3.49949,17.61,796.0,95.03,0.821,5670.0,44791.0,1671.1,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
3.951405455,2.1862,31.44,1133.0,388.71,0.869,6046.0,2453.9,117.2,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
23.65369415,8.2183,7.89,731.0,67.65,1.384,5739.0,3341.8,266.3,0.999,0.0,0.0,0.0,0.0,CONFIRMED
13.23352214,6.7372,3.06,888.0,146.67,1.384,5739.0,504.6,49.1,0.996,0.0,0.0,0.0,0.0,CONFIRMED
6.15560285,4.9843,2.32,1146.0,406.94,1.384,5739.0,285.0,35.1,0.997,0.0,0.0,0.0,0.0,CONFIRMED
2.090811305,3.388,1.62,1642.0,1718.04,1.384,5739.0,115.9,19.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.180027898,3.5797,1.53,1458.0,1066.86,1.402,5847.0,120.3,50.4,0.995,0.0,0.0,0.0,0.0,CONFIRMED
50.4467417,7.159,2.67,568.0,24.64,1.384,5739.0,370.3,19.4,0.989,0.0,0.0,0.0,0.0,CONFIRMED
11.76307164,2.9076,2.35,616.0,33.99,0.756,4959.0,1037.3,48.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
56.2279271,3.57,2.37,366.0,4.22,0.756,4959.0,862.7,20.9,0.878,0.0,0.0,0.0,0.0,CONFIRMED
2.384052875,3.0918,17.06,1010.0,244.87,0.701,4794.0,1268.1,50.5,0.0,0.0,1.0,1.0,1.0,FALSE POSITIVE
7.953547,2.6312,2.25,696.0,55.37,0.779,4768.0,875.4,38.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.14451656,2.3421,1.48,864.0,132.08,0.779,4768.0,391.8,22.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.859386384,2.2757,38.33,1114.0,364.23,0.988,6072.0,6044.3,269.7,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
10.526294577,2.5211,8.24,713.0,61.16,0.793,5386.0,9768.0,482.3,0.999,0.0,0.0,0.0,0.0,CONFIRMED
4.583520948,2.7055,5.39,1038.0,274.98,0.877,5815.0,3812.1,99.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.76181843,3.5176,2.66,1121.0,372.62,0.949,5653.0,510.6,35.9,0.876,0.0,0.0,0.0,0.0,CONFIRMED
8.20396958,2.9667,3.01,742.0,71.5,0.826,5015.0,1024.4,54.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
14.49645186,4.016,3.01,613.0,33.48,0.826,5015.0,647.5,25.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
6.54626149,2.75,2.19,810.0,101.78,0.817,5251.0,655.9,24.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
12.71809866,3.0957,2.31,562.0,23.6,0.686,4702.0,1149.4,52.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
36.06588163,4.3246,2.64,397.0,5.88,0.686,4702.0,1563.8,51.7,0.999,0.0,0.0,0.0,0.0,CONFIRMED
4.190425659,2.8589,6.21,1234.0,547.9,1.135,6073.0,2877.4,240.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.709870784,3.0694,4.35,1151.0,415.1,0.978,5727.0,2020.3,116.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
16.3297527,6.271,3.75,727.0,66.08,0.987,5878.0,1187.5,74.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
27.807566216,4.21587,13.84,554.0,22.24,0.785,5862.0,25391.0,748.1,0.985,0.0,0.0,0.0,0.0,CONFIRMED
80.8723469,11.195,7.59,452.0,9.88,1.238,5510.0,3604.6,160.9,0.942,0.0,0.0,0.0,0.0,CONFIRMED
3.166465862,2.9381,26.82,954.0,196.31,0.704,4968.0,4357.2,122.1,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
24.99324319,5.9409,2.29,712.0,60.88,1.317,5718.0,269.6,62.0,0.912,0.0,0.0,0.0,0.0,CONFIRMED
10.35533116,3.1775,2.47,777.0,86.22,0.918,5501.0,750.6,49.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
16.08518937,3.984,3.68,613.0,33.43,0.826,5239.0,1442.4,62.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
235.9986399,8.2284,10.59,188.0,0.29,0.657,4245.0,20715.0,271.8,0.998,0.0,0.0,0.0,0.0,CANDIDATE
7.49018305,2.7297,2.56,753.0,76.06,0.787,5103.0,1123.6,53.0,1.0,0.0,0.0,0.0,0.0,CONFIRMED
36.2761238,4.7865,3.03,445.0,9.29,0.787,5103.0,1572.6,45.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
17.46087931,2.2641,2.32,568.0,24.6,0.787,5103.0,812.4,22.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
56.0560754,4.685,1.94,233.0,0.69,0.491,3593.0,1626.0,27.4,0.996,0.0,0.0,0.0,0.0,CONFIRMED
41.408316686,5.0264,11.38,453.0,9.93,0.747,5522.0,22839.0,907.8,0.974,0.0,0.0,0.0,0.0,CONFIRMED
39.74893077,7.3051,14.21,552.0,21.87,0.964,6122.0,15179.0,561.1,0.994,0.0,0.0,0.0,0.0,CANDIDATE
5.715425977,2.5242,2.47,850.0,123.03,0.826,5237.0,908.1,59.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
49.18394185,11.3364,8.2,669.0,47.4,2.057,5626.0,1646.2,355.7,0.959,0.0,0.0,0.0,0.0,CONFIRMED
20.0261412,1.611,2.28,559.0,23.14,0.826,5237.0,421.2,10.7,0.994,0.0,0.0,0.0,0.0,CONFIRMED
13.61014819,2.594,19.02,733.0,68.29,0.903,5697.0,5732.9,184.1,0.0,0.0,0.0,0.0,0.0,CANDIDATE
10.44331991,2.743,2.66,667.0,46.94,0.802,4947.0,1159.8,51.7,0.0,0.0,1.0,1.0,1.0,FALSE POSITIVE
2.237489571,1.8119,1.41,1160.0,427.17,0.81,5265.0,315.8,30.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
5.851520671,3.11058,14.62,901.0,155.89,0.806,5532.0,33004.0,1630.4,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
3.167893418,2.1814,2.62,1221.0,526.23,0.94,5895.0,781.2,64.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.311780262,2.7251,3.11,1038.0,274.84,0.927,5527.0,1154.0,86.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
20.0504494,4.556,2.69,622.0,35.44,0.927,5527.0,840.9,37.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
9.76734503,1.6585,2.67,791.0,92.46,0.927,5527.0,569.1,21.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
119.0207044,8.1405,8.98,366.0,4.25,1.062,5453.0,7430.5,223.5,1.0,0.0,0.0,0.0,0.0,CANDIDATE
190.3200468,15.284,7.78,426.0,7.8,2.057,5626.0,1141.7,139.3,0.987,0.0,0.0,0.0,0.0,CONFIRMED
2.861159894,1.8832,4.37,1355.0,797.1,1.021,6126.0,1014.3,58.3,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
26.44439337,3.9783,3.91,562.0,23.54,0.929,5427.0,1843.5,88.0,1.0,0.0,0.0,0.0,0.0,CONFIRMED
51.53997972,6.3994,5.51,450.0,9.67,0.929,5427.0,3644.3,155.5,0.983,0.0,0.0,0.0,0.0,CONFIRMED
5.902245782,2.9003,2.43,926.0,173.74,0.929,5427.0,702.3,59.3,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.382951591,1.8876,1.86,1253.0,583.01,0.929,5427.0,391.6,41.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
21.02250608,4.1072,3.07,521.0,17.48,0.75,5067.0,1772.5,62.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.219814777,2.0642,1.69,998.0,234.93,0.787,5103.0,488.2,30.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
5.912273234,2.3254,1.73,585.0,27.72,0.57,4072.0,961.4,62.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
8.98581901,2.8606,1.65,509.0,15.9,0.57,4072.0,881.3,51.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
12.940668656,2.4845,22.94,723.0,64.64,0.809,5875.0,42450.0,307.5,0.0,0.0,0.0,0.0,0.0,CANDIDATE
20.5452375,2.517,2.41,742.0,71.57,1.264,5670.0,218.5,18.5,0.573,0.0,1.0,0.0,0.0,FALSE POSITIVE
33.60123371,4.4056,8.46,495.0,14.22,0.93,5149.0,7425.9,247.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
